sample	collection_date	region	collection_year	country	host	other
200439	2020-11-10	22	2020	France	swine	
200440	2020-11-07	56	2020	France	swine	
200441	2020-11-12	56	2020	France	swine	
200472	2020-10-12	29	2020	France	swine	
200474	2020-10-15	81	2020	France	swine	
200454	2020-11-19	22	2020	France	swine	
200456	2020-11-10	22	2020	France	swine	
200458	2020-11-20	72	2020	France	swine	
200460	2020-11-16	44	2020	France	swine	
200461	2020-11-09	72	2020	France	swine	
200462	2020-11-09	72	2020	France	swine	
200469	2020-11-19	35	2020	France	swine	
200470	2020-11-25	35	2020	France	swine	
200438	2020-11-10	35	2020	France	swine	
200425	2020-11-02	35	2020	France	swine	
200471	2020-11-13	50	2020	France	swine	
200486	2020-12-02	22	2020	France	swine	
200490	2020-11-27	49	2020	France	swine	
200492	2020-12-01	24	2020	France	swine	
200505	2020-12-10	22	2020	France	swine	
200507	2020-12-15	29	2020	France	swine	
200508	2020-12-10	35	2020	France	swine	
200510	2020-12-15	44	2020	France	swine	
200512	2020-12-15	44	2020	France	swine	
210039	2020-12-02	22	2020	France	swine	
210040	2020-11-06	35	2020	France	swine	
210041	2020-12-02	29	2020	France	swine	
210042	2020-12-09	22	2020	France	swine	
210030	2020-12-29	22	2020	France	swine	
210033	2020-12-21	59	2020	France	swine	
210119	2020-12-14	22	2020	France	swine	
210053	2021-01-04	72	2021	France	swine	
210055	2021-01-11	72	2021	France	swine	
210061	2021-01-06	22	2021	France	swine	
210062	2021-01-11	35	2021	France	swine	
210063	2021-01-12	22	2021	France	swine	
210082	2021-01-15	59	2021	France	swine	
210089	2021-01-18	35	2021	France	swine	
210090	2021-01-20	53	2021	France	swine	
210091	2021-01-21	53	2021	France	swine	
210124	2021-01-04	56	2021	France	swine	
210129	2021-01-12	35	2021	France	swine	
210105	2021-XX-XX	56	2021	France	swine	
210116	2021-01-27	59	2021	France	swine	
210139	2021-02-11	22	2021	France	swine	
210140	2021-02-15	35	2021	France	swine	
210232	2021-01-18	22	2021	France	swine	
210233	2021-01-19	72	2021	France	swine	
210234	2021-01-20	22	2021	France	swine	
210235	2021-01-15	79	2021	France	swine	
210237	2021-01-13	53	2021	France	swine	
210238	2021-01-13	24	2021	France	swine	
210252	2021-01-27	22	2021	France	swine	
210254	2021-01-27	35	2021	France	swine	
210255	2021-02-02	56	2021	France	swine	
210165	2021-02-22	35	2021	France	swine	
210184	2021-03-02	79	2021	France	swine	
210187	2021-03-15	56	2021	France	swine	
210258	2021-03-22	85	2021	France	swine	
210300	2021-02-15	01	2021	France	swine	
210301	2021-02-18	22	2021	France	swine	
210302	2021-03-09	22	2021	France	swine	
210305	2021-03-15	22	2021	France	swine	
210307	2021-03-11	50	2021	France	swine	
210309	2021-02-26	22	2021	France	swine	
210311	2021-03-18	22	2021	France	swine	
210313	2021-03-15	86	2021	France	swine	
210314	2021-03-26	86	2021	France	swine	
210317	2021-03-19	22	2021	France	swine	
210264	2021-03-02	81	2021	France	swine	
210267	2021-04-09	22	2021	France	swine	
210268	2021-04-12	29	2021	France	swine	
210295	2021-04-27	22	2021	France	swine	
210323	2021-05-06	22	2021	France	swine	
210399	2021-04-07	22	2021	France	swine	
210402	2021-04-09	35	2021	France	swine	
210403	2021-04-22	29	2021	France	swine	
210404	2021-04-15	22	2021	France	swine	
210405	2021-04-20	28	2021	France	swine	
210348	2021-05-10	22	2021	France	swine	
210370	2021-05-20	35	2021	France	swine	
210394	2021-06-08	59	2021	France	swine	
210413	2021-07-01	29	2021	France	swine	
210414	2021-07-02	29	2021	France	swine	
210415	2021-07-09	29	2021	France	swine	
210417	2021-07-13	50	2021	France	swine	
210446	2021-05-27	22	2021	France	swine	
210447	2021-05-27	76	2021	France	swine	
210451	2021-06-02	29	2021	France	swine	
210424	2021-07-17	59	2021	France	swine	
210426	2021-07-29	53	2021	France	swine	
210427	2021-08-09	22	2021	France	swine	
210437	2021-08-23	22	2021	France	swine	
210477	2021-07-22	22	2021	France	swine	
210481	2021-08-26	22	2021	France	swine	
210487	2021-09-24	05	2021	France	swine	
210490	2021-09-21	49	2021	France	swine	
210493	2021-09-29	64	2021	France	swine	
210500	2021-08-18	35	2021	France	swine	
210501	2021-10-04	35	2021	France	swine	
210505	2021-10-11	22	2021	France	swine	
210506	2021-10-01	29	2021	France	swine	
210508	2021-10-12	72	2021	France	swine	
